# kQSO callsign DB | set=vkv | version=1 | updated=2026-09-24
HB9EOU	JN37MD	20260921	1
DK7CM	JO40QL	20260921	1
S53D	JN76BD	20260921	1
OK1DHP	JO60VP	20260921	1
LZ2STZ	KN33WE	20260921	1
DK1LJ	JN57MT	20260921	1
DF8KVK	JN58VC	20260921	1
DL8QS	JO43KH	20260921	1
S53O	JN86AT	20260921	1
CU3EQ	HM68KP	20260921	1
SP9PKS	JO90KD	20260921	1
OL3Y	JN69KK	20260921	1
IQ3AZ	JN65QQ	20260921	1
OL3Z	JN79FX	20260921	1
F5SDD	JN23QF	20260921	1
OM3CGN	KN08AI	20260921	1
LZ1MC	KN22VQ	20260921	1
DL1ASF	JO50RN	20260921	1
HG5ED	JN97OK	20260921	1
IO2V	JN54WE	20260921	1
IK0HWJ	JN61HM	20260921	1
OL4A	JO60RN	20260921	1
IU4FNO	JN63EU	20260921	1
LY2R	KO15VS	20260921	1
SM6TZL	JO67IL	20260921	1
DL8RB	JN39JG	20260921	1
IU1BFI	JN44JO	20260921	1
I4CIV	JN64GB	20260921	1
IQ3BM	JN55RQ	20260921	1
OL4N	JO60VR	20260921	1
DG1OJ	JO52DS	20260921	1
DF0AP	JN39IG	20260921	1
DK1MJ	JO52IJ	20260921	1
S54K	JN76LL	20260921	1
IW0HLE	JN61WK	20260921	1
OK1DIX	JO60JJ	20260921	1
S57AJ	JN76AA	20260921	1
OM8WG	KN08NM	20260921	1
HA2ML	JN97CO	20260921	1
LY3I	KO25ER	20260921	1
G4GFI	IO91VH	20260921	1
ON4CDU/P	JO20KW	20260921	1
S54W	JN86DT	20260921	1
OK2KOE	JN89SS	20260921	1
DL1ATI	JO50QU	20260921	1
OK1DJE	JN89HU	20260921	1
OL5B	JN89IG	20260921	1
OK2KOJ	JN79UG	20260921	1
G1PPA/P	JO03AE	20260921	1
DD6UBC/P	JO62TJ	20260921	1
OE8TED	JN76AO	20260921	1
OL5G	JN79MW	20260921	1
PA1BVM	JO21RO	20260921	1
IK3GHY	JN65DM	20260921	1
ON4MM	JO21LI	20260921	1
IQ3CO	JN55QO	20260921	1
G4LIP/P	IO92IR	20260921	1
HB9SG	JN47MH	20260921	1
GW3TKH	IO81JN	20260921	1
DH1O	JO51GS	20260921	1
IO4R	JN63DT	20260921	1
OK2KPD	JO80UB	20260921	1
HA2NP	JN97SG	20260921	1
OK1JBK	JO70RQ	20260921	1
S51KK	JN76HB	20260921	1
SP3SLU	JO92FC	20260921	1
OZ1LPR	JO44UW	20260921	1
IK7RWE	JN80XP	20260921	1
OE5JFL	JN68MG	20260921	1
OL6M	JN89QO	20260921	1
SQ5KVS	KO02OA	20260921	1
DK1OM	JO42UV	20260921	1
W1FKF	FN43GI	20260921	1
S56K	JN76LL	20260921	1
